2026-03-05 14:52:17,009 - INFO - Loading train dataset from /home/satria/Project/ATLAS
2026-03-05 14:52:17,009 - INFO - Loaded 3776 raw label strings from train_labels.pkl
2026-03-05 14:52:17,014 - INFO - Parsed 3776 labels
2026-03-05 14:52:27,919 - WARNING - No parquet group for ('video_097', 101, 'BOT'), skipping
2026-03-05 14:52:27,919 - WARNING - No parquet group for ('video_097', 426, 'BOT'), skipping
2026-03-05 14:52:27,919 - WARNING - No parquet group for ('video_097', 622, 'BOT'), skipping
2026-03-05 14:52:27,919 - WARNING - No parquet group for ('video_097', 1283, 'BOT'), skipping
2026-03-05 14:52:27,919 - WARNING - No parquet group for ('video_097', 1372, 'BOT'), skipping
2026-03-05 14:52:27,919 - WARNING - No parquet group for ('video_099', 1289, 'BOT'), skipping
2026-03-05 14:52:27,919 - WARNING - No parquet group for ('video_101', 182, 'BOT'), skipping
2026-03-05 14:52:27,919 - WARNING - No parquet group for ('video_101', 360, 'BOT'), skipping
2026-03-05 14:52:27,919 - WARNING - No parquet group for ('video_101', 388, 'BOT'), skipping
2026-03-05 14:52:27,919 - WARNING - No parquet group for ('video_101', 693, 'BOT'), skipping
2026-03-05 14:52:27,919 - WARNING - No parquet group for ('video_101', 731, 'BOT'), skipping
2026-03-05 14:52:27,919 - WARNING - No parquet group for ('video_101', 873, 'BOT'), skipping
2026-03-05 14:52:27,919 - WARNING - No parquet group for ('video_101', 913, 'BOT'), skipping
2026-03-05 14:52:27,919 - WARNING - No parquet group for ('video_101', 1055, 'BOT'), skipping
2026-03-05 14:52:27,919 - WARNING - No parquet group for ('video_101', 1134, 'BOT'), skipping
2026-03-05 14:52:27,919 - WARNING - No parquet group for ('video_101', 1147, 'BOT'), skipping
2026-03-05 14:52:27,919 - WARNING - No parquet group for ('video_103', 573, 'BOT'), skipping
2026-03-05 14:52:27,919 - WARNING - No parquet group for ('video_103', 799, 'BOT'), skipping
2026-03-05 14:52:27,920 - WARNING - No parquet group for ('video_105', 374, 'BOT'), skipping
2026-03-05 14:52:27,920 - WARNING - No parquet group for ('video_105', 1266, 'BOT'), skipping
2026-03-05 14:52:27,920 - WARNING - No parquet group for ('video_105', 1424, 'BOT'), skipping
2026-03-05 14:52:27,920 - WARNING - No parquet group for ('video_105', 2230, 'BOT'), skipping
2026-03-05 14:52:27,920 - WARNING - No parquet group for ('video_105', 2376, 'TOP'), skipping
2026-03-05 14:52:27,920 - WARNING - No parquet group for ('video_107', 810, 'BOT'), skipping
2026-03-05 14:52:27,920 - WARNING - No parquet group for ('video_107', 1767, 'BOT'), skipping
2026-03-05 14:52:27,920 - WARNING - No parquet group for ('video_109', 1, 'BOT'), skipping
2026-03-05 14:52:27,920 - WARNING - No parquet group for ('video_109', 108, 'BOT'), skipping
2026-03-05 14:52:27,920 - WARNING - No parquet group for ('video_109', 214, 'BOT'), skipping
2026-03-05 14:52:27,920 - WARNING - No parquet group for ('video_109', 354, 'BOT'), skipping
2026-03-05 14:52:27,920 - WARNING - No parquet group for ('video_109', 357, 'BOT'), skipping
2026-03-05 14:52:27,920 - WARNING - No parquet group for ('video_109', 798, 'BOT'), skipping
2026-03-05 14:52:27,920 - WARNING - No parquet group for ('video_109', 817, 'BOT'), skipping
2026-03-05 14:52:27,920 - WARNING - No parquet group for ('video_109', 824, 'BOT'), skipping
2026-03-05 14:52:27,920 - WARNING - No parquet group for ('video_109', 834, 'BOT'), skipping
2026-03-05 14:52:27,920 - WARNING - No parquet group for ('video_109', 870, 'BOT'), skipping
2026-03-05 14:52:27,920 - WARNING - No parquet group for ('video_111', 115, 'BOT'), skipping
2026-03-05 14:52:27,920 - WARNING - No parquet group for ('video_111', 134, 'BOT'), skipping
2026-03-05 14:52:27,920 - WARNING - No parquet group for ('video_111', 146, 'BOT'), skipping
2026-03-05 14:52:27,920 - WARNING - No parquet group for ('video_111', 159, 'BOT'), skipping
2026-03-05 14:52:27,920 - WARNING - No parquet group for ('video_111', 281, 'BOT'), skipping
2026-03-05 14:52:27,920 - WARNING - No parquet group for ('video_113', 47, 'BOT'), skipping
2026-03-05 14:52:27,920 - WARNING - No parquet group for ('video_113', 65, 'BOT'), skipping
2026-03-05 14:52:27,920 - WARNING - No parquet group for ('video_113', 205, 'BOT'), skipping
